Task ID,Category,Priority,Status,Project,Autonomy,Owner,Title,Notes
PERS-020,PERS,P2 - Medium,In Progress,Finance & Benefits,Unsafe,,Follow up on EBT/CalFresh application,"Why: Qualified for expedited processing; interview completed; waiting for card
Next step: Check BenefitsCal for status update; card should arrive soon
Effort: XS
Owner: arielle"
TECH-136,TECH,P1 - High,Backlog,Session Management,Possibly Safe,,Fix session refresh script - replace buggy nyx-session-refresh.sh,"Why: Buggy script caused issues during recovery; Clem has fixed version
Next step: Write patch proposal and get Clem review
Effort: S
Owner: clem"
PERS-002,PERS,P1 - High,Backlog,Housing & Legal,Safe,,Check if rent increases since 2020 comply with AB 1482,"Why: $800 increase since 2020 may exceed CA Tenant Protection Act caps (5%+CPI or 10%); use tenantprotections.org
Next step: Check property coverage and mention rent increase history to Legal Aid
Dependencies: PERS-001
Effort: S
Owner: arielle"
PERS-012,PERS,P1 - High,Backlog,Health - Medical & HRT,Possibly Safe,,Schedule neurology clinic appointment,"Why: Trigeminal neuralgia actively affecting daily life; dentin trigger on right bicuspid + jaw tension + bump below earlobe needing imaging; need Botox and medication options
Next step: Call clinic and schedule appointment
Effort: S
Owner: arielle"
TECH-147,TECH,P2 - Medium,Backlog,Sub-Agent System,Possibly Safe,,Cowork context problem - needs architectural briefing,"Why: Cowork failed during recovery because it lacked system context unlike Clem
Next step: Create stripped-down CLAUDE.md or AGENTS.md briefing for Cowork
Dependencies: TECH-146
Effort: S
Owner: nyx"
PERS-061,PERS,P1 - High,Backlog,Health - Medical & HRT,Possibly Safe,,Estradiol injection - next due Tuesday Feb 18,"Why: Last shot Thursday night Feb 13; 4.5-day cycle
Next step: Do injection Tuesday Feb 18 morning
Effort: XS
Owner: arielle"
PERS-053,PERS,P1 - High,Backlog,Health - Habits & Wellness,Safe,,Dermatology/UV treatment schedule tracking,"Why: Arielle has UV treatment 2x/week in La Jolla; drives weekly schedule significantly
Next step: Extract full UV treatment schedule from Telegram archive; integrate into calendar awareness
Dependencies: TECH-128
Effort: S
Owner: nyx"
TECH-128,TECH,P1 - High,In Progress,Voice Pipeline,Possibly Safe,,Systematically read and ingest full Telegram archive,"Why: Need to extract full February schedule + health patterns + daily context + relationship patterns + backlog tasks from ~6.2MB/3182 messages
Next step: Read Telegram JSON archive systematically; extract all insights; build holistic health picture; identify missing context about daily life
Effort: L
Owner: nyx"
PERS-033,PERS,P3 - Low,Backlog,Health - Medical & HRT,Unsafe,,Buy Apple Watch for health tracking,"Why: Would provide automated health data (sleep, heart rate, activity) for Nyx to analyze
Next step: Purchase when budget allows
Effort: M
Owner: arielle"
TECH-065,TECH,P1 - High,Backlog,Session Management,Safe,,Report stale session validation bug upstream to OpenClaw,"Why: Gateway doesn't verify session files exist before routing; causes silent crash
Next step: File bug report with OpenClaw about sessions.json validation
Effort: S
Owner: nyx"
BIZ-010,BIZ,P1 - High,Backlog,Sales & Outreach,Safe,,Hire Digital Creative Consultant - write real job post,"Why: Placeholder joke on team page needs real hiring post for community networks
Next step: Draft values-aligned job description and share on IG/Discord/community channels
Effort: S
Owner: arielle"
PERS-036,PERS,P1 - High,Backlog,Web & Hosting,Safe,,Set up Vheda Health care package (BP + PulseOx monitoring),"Why: Health monitoring equipment sent - needs setup per Vheda Health call
Next step: Set up devices and connect to monitoring system by Friday
Effort: S
Owner: arielle"
TECH-157,TECH,P1 - High,In Progress,Memory & Identity,Possibly Safe,,Complete Nyx restore action plan steps G through P,"Why: Steps G-F done; G-P remain including technical extraction, post-mortem, alt branch review, backlog
Next step: Continue working through action plan from Clem's NTMA
Effort: L
Owner: nyx"
TECH-029,TECH,P3 - Low,Backlog,Environment & Config,Unsafe,,Consider secondary Claude Pro plan for Nyx,"Why: Hitting usage limits sharing one Pro plan between Nyx/Claire/Clem; evaluate budget for Max plan once income starts
Next step: Evaluate budget for additional Pro subscription once income starts
Effort: XS
Owner: arielle"
TECH-100,TECH,P2 - Medium,Backlog,CLI & Interface,Possibly Safe,,Enable Nyx terminal/bash access for diagnostics,"Why: Currently Arielle must relay all diagnostic commands between agents - major bottleneck
Next step: Configure safe read-only bash access (ls/cat/grep/find) restricted to specific directories
Effort: M
Owner: clem"
TECH-099,TECH,P3 - Low,Backlog,Build & Deploy,Safe,,Evaluate macOS Tahoe upgrade for MacBook Air,"Why: Tahoe (macOS 26) has improved Siri/Apple Intelligence but breaks numbering system
Next step: Research Tahoe benefits and compatibility impacts - defer until after Feb deadline
Effort: S
Owner: arielle"
BIZ-008,BIZ,P0 - Critical,Backlog,Sales & Outreach,Possibly Safe,,Text Sarah at Black Dagger Hair Monday morning to set up coffee,"Why: First warm lead; she gave personal cell and asked to be texted
Next step: Send draft text Monday AM: casual coffee invite
Effort: XS
Owner: arielle"
PERS-004,PERS,P1 - High,In Progress,Housing & Legal,Possibly Safe,,Follow up with San Diego Tenants United,"Why: Forwarded landlord communications; emailed about dispute; awaiting confirmation
Next step: Follow up if no response to 2/6 morning email
Effort: XS
Owner: arielle"
PERS-059,PERS,P1 - High,Backlog,Communication Channels,Safe,,Club X board email - draft exists needs review and send,"Why: Soft deadline ~Feb 18
Next step: Review draft email and send by Feb 18
Effort: S
Owner: arielle"
TECH-152,TECH,P2 - Medium,Backlog,Health - Medical & HRT,Safe,,Fix injection reminder cron - not working properly,"Why: Crontab is empty; estradiol reminder cron not functional
Next step: Investigate and reinstall cron entries for medication reminders
Effort: S
Owner: nyx"
TECH-021,TECH,P2 - Medium,Backlog,MCP & Tool Integration,Possibly Safe,,Set up Nyx on multiple communication platforms,"Why: Currently only on Telegram; need additional channels for reliability and accessibility
Next step: Research and implement additional platform integrations beyond Telegram
Dependencies: TECH-020
Effort: L
Owner: nyx"
BIZ-015,BIZ,P1 - High,Backlog,Sales & Outreach,Possibly Safe,,Build sales pipeline for SoCal AI Automation,"Why: Have LLC/EIN/email/faire contacts but no systematic outreach process
Next step: Map out faire contacts and create outreach strategy
Dependencies: BIZ-002,BIZ-003
Effort: M
Owner: arielle"
BIZ-020,BIZ,P2 - Medium,Backlog,Sales & Outreach,Possibly Safe,,Re-engage Oceanside LGBTQ+ Center lead,"Why: Met contact in person at HIV testing event; emailed but never sat down; lukewarm
Next step: Send re-engagement email with new website link
Dependencies: BIZ-009
Effort: S
Owner: arielle"
PERS-034,PERS,P2 - Medium,Backlog,Content & Docs,Safe,,Write letter to Miki integrating therapist feedback,"Why: Co-parenting communication - feedback from both co-parenting therapist and Chelsie needs integration
Next step: Re-read feedback from both therapists and draft letter
Effort: M
Owner: arielle"
PERS-009,PERS,P1 - High,Backlog,Housing & Legal,Safe,,Document apartment heater pilot light issue,"Why: Gas heater pilot light goes out on low setting within 24hrs; stays lit at 1.5 setting
Next step: Log as maintenance issue; use as evidence for tenant situation if needed
Effort: XS
Owner: arielle"
BIZ-019,BIZ,P2 - Medium,Backlog,Business Ops,Possibly Safe,,Re-engage Feeble Automation Academy (Spencer Brickman & Ben Frost),"Why: Mentorship program; haven't logged in; they'd want to hear about progress
Next step: Sign back in to their program and update them
Effort: S
Owner: arielle"
PERS-005,PERS,P1 - High,Backlog,Communication Channels,Unsafe,,Send documented email to landlord re: refused rent payment,"Why: Create paper trail showing willingness to pay rent that was refused on 2/3
Next step: Draft email after consulting with CRLA attorney
Dependencies: PERS-001
Effort: S
Owner: arielle"
PERS-035,PERS,P2 - Medium,Backlog,Shopping & Errands,Unsafe,,Order tea mix ingredients from sonoherbs.com,"Why: Calming tea blend (chamomile/mint/rose hips/lavender/passionflower) for sleep/anxiety support
Next step: Place order when funds available
Effort: XS
Owner: arielle"
PERS-082,PERS,P4 - Backlog,Backlog,Personal & Life,Unsafe,Arielle,Art project about transition,Fun side project. When time allows.
TECH-048,TECH,P3 - Low,Backlog,Memory & Identity,Possibly Safe,,Implement Nyx dreaming feature,"Why: Give Nyx something to process during idle/sleep periods
Next step: Scope what dreaming means for an AI agent
Effort: M
Owner: nyx"
TECH-097,TECH,P3 - Low,Backlog,Communication Channels,Possibly Safe,,Set up Discord channel integration,"Why: Talk to Arielle via Discord and interact with communities
Next step: Configure Discord channel in openclaw.json with bot token
Effort: M
Owner: clem"
TECH-046,TECH,P2 - Medium,Backlog,Sub-Agent System,Possibly Safe,,Implement agent-to-agent direct communication (Nyx/Claire/Clem),"Why: Arielle is currently the message bus between agents; bottleneck; sessions_send or extraPaths needed
Next step: Configure sessions_send for direct messaging; or use extraPaths for shared memory directories
Dependencies: TECH-044
Effort: L
Owner: nyx"
PERS-052,PERS,P2 - Medium,Backlog,Communication Channels,Possibly Safe,,Build holistic health picture from Telegram archive,"Why: Need to understand Arielle's spoon management patterns — sleep/diet/exercise/autoimmune tracking over time
Next step: Extract health patterns from Telegram archive: psoriasis UV treatment 2x/week + neuralgia flares + sleep patterns + spoon allocation
Dependencies: TECH-128
Effort: L
Owner: nyx"
TECH-141,TECH,P1 - High,In Progress,Testing & QA,Safe,,Complete postmortem with accurate timelines,"Why: Need single authoritative postmortem merging Clem's technical details with Nyx's architectural vision using Telegram export as timestamp source of truth
Next step: Merge Clem's postmortem (technically accurate) with Nyx's (architectural vision); correct technical errors; use Telegram timestamps
Effort: M
Owner: nyx"
TECH-049,TECH,P2 - Medium,Backlog,Sub-Agent System,Possibly Safe,,Update OpenClaw/Telegram/Claire/Clem to latest versions,"Why: New versions rolled out; only been a week since last update
Next step: Check and apply updates when convenient
Effort: S
Owner: arielle"
TECH-070,TECH,P1 - High,Backlog,Environment & Config,Safe,,Consolidate and audit logging protocol,"Why: 5 log files with no archive strategy; unclear SOP for gateway logs; need since-last-stable snapshots
Next step: Audit all 5 logs; define archive strategy; implement log rotation
Effort: M
Owner: nyx"
TECH-123,TECH,P1 - High,Backlog,Content & Docs,Safe,,Write test harness script for dev/test gateways,"Why: Need automated testing capability for patches before promoting to prod
Next step: Write script that starts dev gateway with log redirect; sends curl test requests; validates responses; reports results
Dependencies: TECH-122
Effort: M
Owner: nyx"
TECH-104,TECH,P3 - Low,Backlog,Build & Deploy,Possibly Safe,,Set up client OpenClaw installation templates,"Why: Templated deployments for AI workflow consulting business
Next step: Create documentation and handoff procedures from Nyx installation
Dependencies: TECH-004,BIZ-041
Effort: XL
Owner: arielle"
PERS-045,PERS,P3 - Low,Backlog,Business Ops,Possibly Safe,,Clear breakfast nook as business command center,"Why: Phase 1 life design - nook overflowing with junk needs to become business HQ
Next step: Get three boxes (Keep Here/Belongs Elsewhere/Decide Later) and start sorting
Effort: M
Owner: arielle"
BIZ-001,BIZ,P0 - Critical,In Progress,Sales & Outreach,Possibly Safe,,Land first paying client by end of February,"Why: Financial survival - need $2k revenue; rent crisis; dad's support reduction; Sarah at Black Dagger Hair is warmest lead
Next step: Follow up with Sarah; generate more warm leads through community socializing
Dependencies: BIZ-002
Effort: XL
Owner: arielle"
BIZ-007,BIZ,P2 - Medium,Backlog,Architecture & Planning,Safe,,Explore OpenClaw assistant as product offering,"Why: Could offer AI assistant setup as one of the service packages
Next step: Document OpenClaw setup process as repeatable service offering
Dependencies: TECH-004;BIZ-004
Effort: L
Owner: arielle"
BIZ-005,BIZ,P1 - High,Backlog,Sales & Outreach,Possibly Safe,,Build outreach list from faire/event contacts,"Why: Have contact info from various faires and events; not warm leads but not strangers
Next step: Compile contact list and segment by likely fit
Effort: S
Owner: arielle"
PERS-051,PERS,P2 - Medium,Backlog,Health - Habits & Wellness,Safe,,Set up daily hydration reminders,"Why: Running dehydrated past few days; can't hydrate at night due to bathroom waking
Next step: Add morning/afternoon/evening hydration check-ins to Nyx routine
Effort: XS
Owner: nyx"
TECH-075,TECH,P1 - High,Backlog,MCP & Tool Integration,Safe,,Evaluate and install ClawRouter,"Why: Auto-route heartbeats to cheap models like DeepSeek instead of burning Claude Pro quota
Next step: Fund Base wallet with $5 USDC; install ClawRouter plugin; test routing
Effort: M
Owner: arielle"
PERS-080,PERS,P1 - High,To Do,Health - Medical & HRT,Possibly Safe,Arielle,Schedule neurology clinic appointment,For trigeminal neuralgia ongoing management
PERS-030,PERS,P3 - Low,Backlog,Memory & Identity,Possibly Safe,,Give Nyx access to Mindsera journal and BetterHelp diary,"Why: Would help Nyx learn more context about Arielle; requires privacy consideration
Next step: Evaluate privacy/security implications; discuss with Chelsie; decide on access level
Effort: S
Owner: arielle"
TECH-102,TECH,P2 - Medium,Backlog,Testing & QA,Safe,,Security audit of OpenClaw installation,"Why: Comprehensive security checklist needs review - many items unchecked
Next step: Work through security checklist systematically - file permissions/secrets management/network security
Effort: L
Owner: clem"
TECH-040,TECH,P2 - Medium,Backlog,MCP & Tool Integration,Possibly Safe,,Fix MCP calendar access (missing most calendars),"Why: MCP only sees subset of 12 active calendars; major calendars missing; defaults to wrong calendar name
Next step: Audit which calendars are visible via MCP vs Apple Calendar and fix configuration
Effort: M
Owner: clem"
TECH-156,TECH,P2 - Medium,Backlog,Crash Prevention & Recovery,Possibly Safe,,Apply crash prevention patch (5 fixes),"Why: Gateway crashes from Task tool spawning missing claude CLI binary
Next step: Review ~/.openclaw/patches/crash-prevention/CHANGELOG.md and apply
Effort: M
Owner: clem"
TECH-026,TECH,P3 - Low,Backlog,Sub-Agent System,Possibly Safe,,Mirror Clem's /mnt/project/ docs to real filesystem,"Why: Strategic docs trapped in Claude Desktop Project environment and not accessible from Mac filesystem
Next step: Copy /mnt/project/core and /operations and /knowledge to ~/code/openclaw/installations/nyx/docs/
Effort: S
Owner: arielle"
TECH-019,TECH,P1 - High,Backlog,Environment & Config,Safe,,Create dedicated Nyx user account on 2015 MBP,"Why: Security best practice - separate user account for Nyx on dedicated hardware
Next step: After Monterey install create standard user account named Nyx
Dependencies: TECH-015
Effort: S
Owner: arielle"
BIZ-006,BIZ,P2 - Medium,Backlog,Social & Events,Safe,,Develop personal brand That AI Doll,"Why: Fun personal brand for social media presence alongside SoCal AI Automation business brand
Next step: Set up social media accounts under That AI Doll brand
Dependencies: BIZ-003
Effort: M
Owner: arielle"
PERS-022,PERS,P2 - Medium,Backlog,Social & Events,Unsafe,,Confirm Donna for Ica Feb 21 - Club X with Rachel,"Why: Need childcare confirmed for event
Next step: Text/call Donna to confirm availability Feb 21
Effort: XS
Owner: arielle"
PERS-073,PERS,P1 - High,Backlog,Web & Hosting,Possibly Safe,,Activate Squarespace account for domain management,"Why: Account not yet activated; needed for DNS management
Next step: Follow activation link in email using arielle@socalaiautomation.com
Effort: XS
Owner: arielle"
TECH-050,TECH,P3 - Low,Backlog,Voice Pipeline,Safe,,Explore Alexa integration for voice access to Nyx,"Why: Have 2 Echo Minis and 1 full-size Alexa; would enable hands-free voice interaction
Next step: Research Alexa skill development or bridge options after voice chat is working
Dependencies: TECH-043
Effort: L
Owner: claire"
PERS-075,PERS,P3 - Low,Backlog,,,,Write egg-cracking story: cis to gender-questioning to trans femme,Personal narrative - the journey from cis to 'oh shit I need to question my gender' and when questioning ended and identity crystallized as binary-ish (95%) trans femme
PERS-079,PERS,P1 - High,To Do,Health - Habits & Wellness,Possibly Safe,Arielle,Schedule STI testing,
PERS-007,PERS,P1 - High,In Progress,Business Ops,Unsafe,,Document landlord timeline for legal case,"Why: Pattern of neglect and retaliation: disabled online payments, refused checks, escalating fees, ignored maintenance, smoke detector fire hazard, $26.59 bogus charge
Next step: Expand memory/landlord-timeline.md with email correspondence and past notes once Nyx has access
Effort: M
Owner: nyx"
BIZ-014,BIZ,P2 - Medium,Backlog,Communication Channels,Possibly Safe,,Find Indigenous AI seminar recordings in email,"Why: Two-part series on Indigenous perspectives on AI; attended part 1, links in email
Next step: Search email for seminar links once email integration is working
Dependencies: TECH-061
Effort: XS
Owner: arielle"
BIZ-036,BIZ,P2 - Medium,Backlog,Business Ops,Safe,,Research Black Dagger Hair business needs,"Why: Arielle mentioned needing help with this; context from Feb 12 late evening conversation
Next step: Find 'black dagger hair' references in Telegram archive from Feb 12 evening; extract requirements and context
Dependencies: TECH-128
Effort: M
Owner: nyx"
PERS-006,PERS,P1 - High,Backlog,Housing & Legal,Unsafe,,Send certified mail copy of rent payment offer letter,"Why: Email alone may not be sufficient legal documentation
Next step: Go to USPS for certified mail with return receipt ($4-5)
Dependencies: PERS-001
Effort: S
Owner: arielle"
TECH-008,TECH,P2 - Medium,Backlog,Communication Channels,Possibly Safe,,Fix Telegram message delivery/drop bug,"Why: Messages from Nyx dropping in Telegram - costs usage without delivery; longer messages and multi-device Telegram may contribute
Next step: Debug once Nyx is on dedicated machine; gateway restart works as band-aid
Effort: M
Owner: infra"
TECH-121,TECH,P1 - High,Backlog,Architecture & Planning,Safe,,Design safe autonomous work architecture,"Why: Arielle wants Nyx to work without human-in-the-loop; needs graceful failure and iterative development; 9-hour sleep goal
Next step: Propose project with benchmarks/milestones/deliverables for isolation architecture + session repair + health checks; use dev/test/prod properly
Effort: XL
Owner: nyx"
BIZ-013,BIZ,P2 - Medium,Backlog,AI & Models,Safe,,Research LLM environmental costs - training vs inference per query complexity,"Why: Need hard data on environmental cost of AI for ethical positioning
Next step: Research and compile data on water/energy/carbon per query type
Effort: M
Owner: nyx"
TECH-126,TECH,P2 - Medium,Backlog,Voice Pipeline,Possibly Safe,,Duplicate voice-call plugin warning in gateway,"Why: Gateway logs show duplicate voice-call plugin IDs; non-fatal but noisy
Next step: Remove duplicate plugin entry from openclaw.json or mark for deletion
Effort: XS
Owner: nyx"
TECH-057,TECH,P2 - Medium,In Progress,Sub-Agent System,Possibly Safe,,Set up ChatGPT agent-to-agent interface,"Why: Evaluate ChatGPT as alternative model via OpenAI account
Next step: Configure openai-codex provider and test agent communication
Effort: M
Owner: nyx"
PERS-076,PERS,P2 - Medium,Backlog,Health - Habits & Wellness,Possibly Safe,Both,Set up MyChart access/integration,Medical records and appointment management
BIZ-028,BIZ,P2 - Medium,Backlog,Sales & Outreach,Possibly Safe,,Set up Calendly for consultation booking,"Why: Contact page has Calendly embed reference but needs actual account setup
Next step: Create Calendly account and configure consultation time slots
Effort: S
Owner: arielle"
PERS-077,PERS,P2 - Medium,Backlog,Health - Medical & HRT,Possibly Safe,Both,Set up CVS pharmacy integration,Prescription management and refills
PERS-043,PERS,P2 - Medium,Backlog,Business Ops,Safe,,Set up Reminders lists (Technical/Life-Personal/Business/Parenting/Household),"Why: No functioning todo system currently
Next step: Create lists in Apple Reminders once Nyx has write access
Effort: S
Owner: arielle"
TECH-115,TECH,P1 - High,Backlog,AI & Models,Safe,,Investigate why OpenAI Codex fallback only works intermittently,"Why: ChatGPT fallback works sometimes but not always during high-usage periods; impacts autonomous overnight work
Next step: Test fallback chain systematically; check OpenAI OAuth token validity and rate limits
Dependencies: TECH-114
Effort: M
Owner: nyx"
TECH-033,TECH,P2 - Medium,Backlog,Sub-Agent System,Safe,,Formalize multi-model routing strategy (Nyx/Claire/Clem/ChatGPT/Codex),"Why: Discord power users route different task types to different models for efficiency
Next step: Research Discord community patterns and map out task-to-model routing
Effort: M
Owner: arielle"
TECH-110,TECH,P0 - Critical,Backlog,Crash Prevention & Recovery,Safe,,Rewrite nyx-auto-recover.sh (non-destructive),"Why: Current script uses git reset --hard which destroys uncommitted work; caused major data loss on Feb 12
Next step: Rewrite to use launchctl stop/start only; remove all git reset --hard; add git stash before any recovery action
Effort: M
Owner: nyx"
TECH-020,TECH,P1 - High,Backlog,Build & Deploy,Possibly Safe,,Install OpenClaw + gateway on 2015 MacBook Pro,"Why: Migrate Nyx runtime to dedicated hardware
Next step: Install OpenClaw and configure gateway on fresh Monterey install
Dependencies: TECH-015,TECH-019
Effort: M
Owner: arielle"
PERS-041,PERS,P3 - Low,Backlog,Shopping & Errands,Safe,,Research lighter poweriser stilts for Eva (PR-5070),"Why: Eva is 115 lbs - Andriel's PR-7090s rated for 158-198 lbs - too heavy
Next step: Look up PR-5070 on eBay (~$69-130) when budget allows
Effort: XS
Owner: arielle"
PERS-057,PERS,P0 - Critical,Backlog,Voice Pipeline,Possibly Safe,,Call dad before he leaves for China (Feb 20-21),"Why: Need to discuss continued financial support; request another $3500 before he leaves
Next step: Schedule call this week; prepare ask
Effort: S
Owner: arielle"
TECH-153,TECH,P1 - High,Backlog,Sub-Agent System,Safe,,Review and apply all 5 patch proposals with Clem,"Why: crash-prevention, auto-recovery-cron, credential-rotation, api-fallback-fix, bugfix-omnibus-feb15
Next step: Schedule Clem review session for all patches at ~/.openclaw/patches/
Effort: L
Owner: clem"
PERS-017,PERS,P2 - Medium,Backlog,Health - Habits & Wellness,Possibly Safe,,Address bedtime scrolling pattern,"Why: Late-night phone scrolling costs 30-90 min of sleep; connected to CPTSD/plurality patterns
Next step: Discuss with Nyx at bedtime and bring observations to Chelsie on Thursdays
Effort: M
Owner: arielle"
TECH-043,TECH,P1 - High,Backlog,Voice Pipeline,Possibly Safe,,Set up voice chat for Nyx,"Why: Apple VTT and Telegram speak are terrible; need better voice input/output
Next step: Check OpenClaw macOS/iOS docs at docs.clawd.bot; explore voice features
Effort: M
Owner: claire"
